Date,Min_temp,Max_temp,Rainfall,Evaporation,Sunshine,Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust,9am_temp,9am_humidity,9am_cloud_amount,9am wind direction,9am_wind_speed,9am_pressure,3pm_temp,3pm_humidity,3pm_cloud_amount,3pm wind direction,3pm_wind_speed,3pm_pressure,Time_of_maximum_wind_gust,PRICECATEGORY,TOTALDEMAND
737791,15.6,29.9,0.0,2.8,9.3,22.5,31.0,19.2,77.0,6,0.0,2,1018.8,28.1,43,5.0,90.0,13,1015.3,13:14,0,5019.64
737822,18.4,29.0,0.0,9.4,1.3,337.5,30.0,23.3,52.0,7,337.5,17,1013.3,28.7,38,7.0,225.0,4,1008.5,8:22,0,4964.35
737850,17.0,26.2,12.6,4.8,7.1,247.5,33.0,18.3,100.0,8,247.5,4,1007.7,23.5,59,4.0,202.5,2,1005.2,17:55,0,4503.31
737881,16.0,18.6,2.6,3.8,0.0,157.5,41.0,16.2,98.0,8,157.5,11,1010.0,18.2,82,8.0,202.5,17,1011.0,16:03,0,4764.18
737911,15.9,19.1,11.2,1.0,0.0,157.5,35.0,17.2,96.0,8,157.5,13,1012.5,18.2,82,8.0,157.5,19,1013.3,11:02,0,4800.64
737942,13.7,19.2,1.2,1.0,3.2,180.0,35.0,15.2,72.0,7,180.0,11,1020.0,18.1,63,7.0,202.5,17,1020.0,14:56,0,4691.13
737972,14.7,25.7,0.0,3.6,12.1,157.5,44.0,18.6,70.0,4,157.5,13,1023.9,24.3,46,4.0,157.5,20,1022.0,13:21,0,4994.78
738003,12.7,24.3,0.0,9.8,13.1,202.5,31.0,18.6,59.0,1,45.0,6,1024.8,23.1,53,1.0,202.5,11,1022.2,15:04,1,5365.19
738034,14.2,27.9,0.0,7.0,12.9,337.5,30.0,19.7,69.0,1,22.5,11,1022.0,24.4,59,2.0,202.5,11,1019.3,9:46,1,5863.37
738064,16.9,33.5,0.0,8.0,9.6,90.0,24.0,19.3,85.0,8,22.5,6,1020.4,26.7,60,1.0,225.0,11,1015.9,19:16,1,6859.02
738095,19.2,36.7,0.0,10.8,9.8,0.0,52.0,29.4,32.0,2,22.5,15,1012.3,35.2,21,7.0,0.0,20,1008.5,14:55,1,8182.55
738125,18.3,21.6,0.0,13.6,7.7,202.5,41.0,18.7,69.0,8,180.0,13,1016.3,20.1,60,1.0,202.5,17,1015.8,15:01,1,5349.3
737803,14.5,27.0,0.0,6.2,7.5,270.0,41.0,17.9,66.0,3,112.5,4,1013.5,25.7,52,7.0,247.5,6,1008.4,21:58,1,6522.49
737804,15.0,22.2,0.0,7.0,8.0,270.0,31.0,16.6,77.0,7,225.0,7,1013.9,20.6,46,6.0,202.5,9,1013.1,23:23,1,5257.95
737805,13.2,20.6,0.0,7.0,7.9,247.5,50.0,16.4,53.0,4,315.0,9,1009.0,16.6,46,7.0,292.5,13,1009.0,14:49,1,4742.85
737807,12.9,20.2,0.0,5.6,10.7,202.5,30.0,15.0,62.0,7,247.5,13,1018.9,19.2,49,6.0,180.0,13,1018.2,12:19,1,4473.05
737808,14.1,22.6,0.0,5.6,9.0,202.5,39.0,15.9,76.0,7,247.5,9,1018.1,20.6,58,2.0,180.0,19,1016.2,15:53,0,4895.82
737809,14.2,18.9,0.0,8.0,9.9,180.0,41.0,15.8,52.0,7,157.5,15,1023.5,17.7,50,1.0,180.0,19,1023.7,13:57,0,4816.53
737810,10.3,22.6,0.0,8.0,13.0,202.5,33.0,16.4,53.0,1,135.0,11,1024.2,20.9,51,0.0,202.5,15,1020.2,15:22,1,5291.48
737811,12.7,31.6,0.0,7.6,12.5,202.5,22.0,16.8,73.0,7,0.0,11,1016.3,29.6,37,5.0,225.0,7,1010.3,11:59,1,7046.57
737812,15.8,25.0,0.0,9.0,11.4,180.0,35.0,20.2,52.0,7,180.0,11,1009.7,23.3,59,3.0,202.5,13,1009.9,16:47,1,5954.97
737813,14.7,26.7,0.0,7.4,11.6,180.0,30.0,18.3,72.0,2,0.0,9,1013.1,22.7,63,0.0,225.0,13,1010.9,14:42,1,6220.45
737814,16.1,37.8,0.0,8.8,8.1,202.5,17.0,22.5,67.0,1,72.5,6,1010.9,33.6,37,7.0,202.5,6,1007.0,14:58,1,8050.72
